os_type,browser_type,screen_size,time_zone,purchase
0,0,0,0,0
0,0,0,0,1
1,0,17,1,1
0,0,0,2,1
0,2,3,1,0
1,4,2,1,1
3,0,8,1,1
0,1,2,1,0
0,0,20,0,1
1,0,5,0,1
1,2,0,1,1
1,0,2,1,1
0,0,10,0,1
0,0,3,1,0
3,0,20,1,1
0,2,14,0,1
0,0,20,0,1
0,0,2,0,1
1,1,5,2,1
0,2,7,3,1
0,0,1,1,0
0,3,2,0,1
0,0,20,0,1
1,2,1,0,0
0,0,9,0,0
1,4,1,0,1
3,0,13,0,0
1,0,1,3,1
0,0,2,0,1
0,0,11,3,1
1,1,0,0,0
1,4,0,0,0
3,0,11,0,1
3,0,6,1,0
1,2,20,3,1
1,0,3,0,0
1,0,0,0,1
1,0,20,1,1
3,0,0,0,1
0,0,1,1,0
0,2,2,0,1
0,0,11,3,1
0,0,7,0,1
1,0,0,3,1
3,0,0,0,1
1,1,7,1,1
1,0,20,1,1
0,0,7,1,0
0,0,10,0,1
0,0,2,2,0
0,0,5,1,0
0,0,1,0,0
0,0,0,0,1
0,0,3,1,0
3,3,20,1,1
0,0,0,0,1
0,0,6,1,0
1,0,0,1,1
0,0,4,3,1
1,2,12,0,1
0,0,4,0,0
0,0,0,1,1
0,0,4,1,0
0,0,11,3,1
0,0,13,1,0
0,3,1,1,0
0,0,0,0,1
0,0,8,0,1
0,2,1,3,1
0,0,0,2,1
1,0,10,1,1
1,2,12,3,1
0,0,7,1,0
1,2,1,1,0
1,0,0,0,1
3,0,12,0,1
1,3,3,0,1
0,3,9,3,1
0,0,0,1,1
1,0,0,1,0
1,1,1,3,1
1,0,4,3,1
0,0,0,1,1
0,0,0,0,0
3,0,1,1,0
0,0,0,3,1
0,0,2,0,1
3,0,0,0,0
0,0,5,1,0
1,0,20,2,1
0,2,5,1,0
0,0,1,0,1
0,0,0,1,1
1,0,2,0,1
0,0,5,0,0
0,0,2,1,0
0,0,0,1,1
1,0,14,1,0
0,2,0,0,0
1,0,7,0,0
1,0,1,2,1
1,1,14,0,1
0,0,20,3,0
0,0,20,1,0
0,0,8,0,1
0,0,9,1,0
3,0,3,1,0
0,0,7,0,1
0,0,0,0,1
0,0,0,0,1
1,1,20,2,1
2,0,7,0,0
0,0,0,3,1
0,0,1,1,0
0,0,0,0,0
0,2,20,1,1
1,0,20,0,1
0,2,0,1,1
0,0,0,3,1
1,2,0,0,1
0,0,20,1,0
0,0,0,0,1
0,3,1,1,0
0,0,0,0,1
0,0,12,3,0
1,0,5,0,0
3,0,1,2,0
0,4,20,0,1
1,0,0,0,1
0,0,3,1,0
0,0,20,0,1
0,0,9,0,1
1,0,0,1,1
0,2,20,3,1
1,0,1,1,1
1,0,1,2,1
2,0,4,0,1
0,4,2,0,1
2,0,20,3,1
3,0,0,3,1
1,1,0,0,1
0,0,0,0,1
0,2,15,0,1
0,0,5,0,0
3,0,4,0,0
0,0,2,1,0
0,1,2,0,1
0,0,0,0,1
0,0,1,1,0
1,2,12,1,1
1,0,8,1,1
0,4,4,0,0
3,0,0,0,1
0,0,4,0,0
0,0,0,0,1
1,0,15,0,1
3,0,1,0,0
0,0,2,1,0
0,0,8,3,1
0,0,3,1,0
1,0,10,1,1
0,0,5,1,0
1,0,20,0,0
1,1,2,0,0
0,0,13,0,1
3,0,9,0,1
1,4,0,1,1
0,0,0,0,1
1,0,1,1,1
1,0,4,0,1
0,0,20,3,1
3,0,20,1,1
0,0,0,0,1
1,4,0,0,1
1,0,5,1,0
0,4,7,0,1
0,0,8,1,1
1,0,20,0,1
1,0,20,1,1
1,0,2,0,1
0,0,6,1,0
0,0,20,0,1
1,0,2,3,1
0,0,20,1,1
0,0,0,0,0
1,0,3,0,0
0,0,18,0,0
0,0,0,0,1
0,4,2,0,0
1,0,8,0,1
1,0,6,1,1
0,0,20,0,1
0,0,4,0,1
3,3,1,0,0
0,0,20,0,1
0,0,12,0,1
1,0,8,0,1
0,0,1,0,1
0,2,1,1,0
1,0,6,0,0
0,0,10,2,0
0,2,3,0,1
0,0,20,0,1
0,0,2,3,1
0,2,16,2,1
0,0,1,1,0
0,0,20,0,0
0,0,9,1,0
0,0,9,0,1
0,0,6,0,0
3,0,4,0,1
0,0,0,2,1
1,0,7,1,1
0,2,20,0,1
0,0,20,0,1
1,3,0,0,1
3,0,9,0,1
0,0,4,2,0
0,3,4,0,0
0,0,2,0,0
2,0,9,3,0
1,0,2,0,1
0,0,0,1,0
0,2,20,0,1
1,3,1,0,1
0,0,7,3,1
3,3,8,1,1
1,2,6,3,1
0,2,0,0,0
0,0,1,1,0
0,4,6,1,0
0,0,20,0,1
3,0,1,3,1
0,1,16,1,1
1,0,17,3,1
1,0,1,0,1
0,3,0,0,0
0,2,17,3,1
0,0,10,1,0
0,0,1,1,0
0,4,7,0,1
0,0,14,3,1
0,0,1,1,0
1,0,16,0,1
0,0,3,1,0
1,0,1,1,0
1,2,3,1,0
0,0,1,1,0
0,2,0,1,0
0,0,2,2,0
0,3,20,0,1
3,2,20,0,1
3,0,0,1,1
0,0,3,3,0
0,0,0,0,1
1,1,20,1,1
0,0,0,0,1
1,0,0,0,1
0,4,0,1,1
1,0,3,3,0
0,0,0,1,1
0,3,1,3,0
1,0,20,3,0
1,2,15,1,1
1,3,3,0,0
0,0,1,0,1
3,0,8,0,1
1,3,3,0,1
0,0,1,1,0
0,0,0,0,1
1,0,20,1,0
0,0,18,1,0
3,2,4,0,0
3,0,7,0,0
1,2,0,0,1
0,0,2,0,1
0,3,1,3,1
1,0,0,3,1
3,0,6,3,1
3,0,0,1,1
0,1,1,3,0
0,0,20,0,1
0,3,0,0,1
0,0,5,0,1
0,0,20,1,1
0,0,2,3,1
0,2,6,0,1
0,2,20,1,1
3,0,20,3,1
0,0,5,3,0
0,0,2,0,1
1,1,6,0,1
0,0,20,1,0
0,4,8,1,0
0,0,2,0,1
0,2,20,0,1
0,2,0,1,1
0,2,2,0,1
0,0,0,0,1
3,0,4,0,1
0,0,5,1,0
1,2,2,0,1
0,0,17,1,1
0,0,10,0,1
1,0,5,3,1
1,0,4,0,0
1,4,9,1,1
0,0,20,1,1
0,0,3,2,0
0,2,20,3,1
0,0,0,0,1
0,0,1,2,0
0,2,11,0,1
0,0,0,1,1
0,2,2,0,1
0,0,0,0,1
0,0,7,1,0
0,0,10,3,0
0,1,10,0,1
0,0,0,0,1
3,0,20,3,0
1,2,0,3,1
0,0,20,0,1
0,2,7,2,0
0,1,1,0,1
1,1,0,0,1
0,0,4,2,0
0,0,20,3,0
1,1,0,3,1
1,0,6,0,1
3,2,0,0,1
0,0,20,0,1
0,0,9,0,1
1,0,1,0,1
0,2,0,0,1
0,0,3,1,0
1,0,0,1,1
0,4,1,1,0
1,0,2,0,0
1,4,1,0,1
0,0,10,1,0
0,0,6,3,0
3,0,0,0,1
0,1,1,0,0
0,0,2,3,1
0,0,2,0,0
0,0,0,0,0
3,0,0,3,1
0,2,3,1,0
0,0,0,3,1
0,0,1,1,0
0,0,7,3,1
0,0,20,0,1
3,0,5,2,0
0,0,2,2,0
0,2,0,0,1
0,0,7,3,0
0,0,7,1,0
1,0,10,0,1
1,1,20,3,1
0,0,20,3,1
1,0,10,0,1
3,0,0,0,0
3,0,0,1,0
1,0,8,0,1
0,2,2,1,0
1,0,0,1,0
0,0,2,1,0
0,0,20,2,1
3,2,1,0,1
0,0,20,0,1
0,0,8,0,0
0,0,11,0,1
1,2,7,0,0
1,1,5,0,1
0,4,20,3,1
0,2,6,0,0
3,0,0,3,1
0,0,0,1,1
0,0,12,3,0
0,0,1,0,1
1,1,1,0,1
0,0,2,3,1
0,0,20,1,1
0,0,0,3,1
1,0,4,0,0
1,0,2,2,1
1,1,7,0,0
0,0,1,1,0
0,0,1,0,0
0,0,0,0,0
0,4,0,0,1
0,0,20,3,1
3,0,4,0,1
0,0,1,1,0
0,0,4,1,0
1,2,0,1,1
1,0,1,1,1
0,0,9,3,1
0,0,20,1,1
0,2,11,0,1
0,0,1,0,1
0,0,20,1,0
1,1,20,2,1
0,3,5,0,0
1,0,2,0,1
1,4,9,2,0
0,2,20,3,1
0,0,2,1,0
1,0,9,0,1
0,0,2,3,0
3,0,5,3,1
0,0,0,0,1
1,0,3,1,0
1,2,5,1,1
0,2,1,0,0
1,0,1,1,1
0,0,7,3,0
3,0,20,1,0
0,2,6,0,1
0,4,7,0,0
0,0,1,2,0
0,0,3,1,0
0,1,15,0,1
0,0,14,0,1
0,0,14,1,0
0,0,17,0,1
0,0,3,1,0
0,0,9,1,0
1,0,13,0,1
0,3,7,0,0
1,2,11,3,1
1,0,2,0,1
0,2,0,0,1
1,0,1,3,1
0,0,0,0,0
1,1,3,0,1
0,2,7,0,0
0,0,9,1,0
0,0,6,1,0
0,0,3,0,0
0,0,0,1,0
0,0,0,1,1
1,0,0,0,1
0,0,5,0,1
3,0,2,2,0
0,0,0,3,1
0,3,20,3,1
0,4,20,1,1
1,0,20,0,1
1,0,2,3,1
0,0,4,0,1
0,0,20,3,0
1,1,6,1,1
1,0,2,0,0
0,0,7,3,1
0,0,6,1,0
1,1,3,0,1
1,0,20,1,1
0,0,0,0,1
3,0,3,0,1
1,0,20,3,1
1,0,16,0,1
0,0,20,0,1
1,0,0,1,1
0,0,1,1,0
0,0,20,0,1
0,0,2,0,1
0,0,3,1,0
0,0,9,0,1
0,0,0,3,1
1,0,1,3,1
0,4,10,0,1
0,0,9,0,1
0,0,0,3,1
0,0,1,0,1
1,0,6,0,0
0,2,7,0,1
0,0,0,0,1
1,1,3,0,1
1,0,2,1,1
3,0,1,3,1
3,0,5,1,0
1,0,3,0,1
1,0,1,1,1
0,0,3,0,1
0,0,14,3,1
0,0,20,1,0
0,0,1,0,0
3,0,0,0,0
0,0,0,3,1
0,0,5,3,1
0,0,3,3,1
1,4,2,0,1
0,2,17,0,1
0,0,1,0,0
3,3,3,0,1
1,0,0,3,1
3,0,3,0,1
0,0,7,0,1
1,3,9,0,1
0,0,9,0,0
1,2,20,1,1
1,0,17,2,1
0,2,3,0,1
0,0,9,0,1
0,0,2,1,0
1,0,2,1,1
3,0,0,0,1
0,3,0,2,0
1,1,13,0,1
1,0,0,3,1
0,0,1,0,1
1,0,20,3,1
0,0,20,1,1
3,0,2,1,0
0,0,1,1,0
0,0,0,0,1
0,0,3,0,1
0,0,1,1,0
1,0,20,0,1
0,0,0,0,1
0,0,4,0,1
3,2,6,0,1
1,2,0,1,1
0,4,7,0,1
3,0,0,3,1
0,0,20,1,1
0,0,20,1,1
2,0,1,0,0
3,0,0,0,1
0,0,20,0,1
3,0,2,0,1
1,0,5,0,1
1,0,1,0,1
1,0,0,1,0
1,0,20,0,0
0,0,1,3,0
1,0,3,0,0
0,0,2,1,0
1,0,5,0,1
1,0,3,0,1
3,0,0,0,1
1,2,2,0,1
1,0,1,0,0
1,0,0,0,1
0,0,8,3,1
0,0,3,1,0
0,0,1,3,1
1,0,0,3,0
1,1,4,0,1
0,0,2,0,1
3,0,0,1,1
3,4,20,1,1
0,0,7,0,1
1,0,0,0,1
0,0,8,1,1
1,0,2,0,1
1,0,0,0,1
0,0,5,0,1
0,0,5,0,1
1,0,20,2,1
1,0,5,3,0
3,0,0,0,0
0,0,10,0,1
0,0,0,0,0
0,0,1,0,0
0,0,1,0,0
0,0,14,0,1
1,0,10,3,1
0,0,3,0,1
0,2,9,0,0
0,0,8,0,1
0,0,0,3,1
1,1,20,0,1
0,0,20,1,1
0,0,20,1,0
1,0,3,1,1
0,0,9,3,1
1,1,2,0,1
1,0,7,0,1
1,3,20,0,1
0,0,4,1,0
0,0,20,1,1
1,2,5,1,0
0,0,5,0,1
0,2,2,0,1
1,2,18,1,0
1,0,1,2,1
0,0,20,2,1
1,0,4,0,1
1,1,0,1,0
0,2,1,3,1
1,3,6,0,1
0,0,4,1,0
0,4,1,0,1
0,0,11,1,0
0,0,7,0,1
1,0,0,0,1
1,4,0,1,1
1,1,10,2,1
0,1,3,0,1
0,4,20,0,0
0,0,18,2,0
1,0,3,2,1
1,0,1,3,1
0,1,3,0,1
1,0,4,0,1
2,2,1,1,0
0,0,3,1,0
0,0,1,0,0
0,0,12,0,0
0,2,8,3,1
0,0,2,3,1
0,4,20,2,0
0,0,5,0,0
0,0,2,3,0
0,0,9,1,0
0,3,0,2,1
0,4,0,1,1
0,3,7,1,0
0,0,9,2,0
0,2,19,3,1
0,0,0,0,1
1,1,2,0,0
2,3,2,3,1
0,2,1,3,1
0,0,20,1,1
0,0,5,2,0
0,2,20,0,1
3,2,0,0,1
0,0,3,3,1
0,0,0,3,1
3,0,2,1,0
3,0,3,1,0
3,0,0,0,1
3,0,6,2,0
0,2,0,1,1
3,0,1,1,0
1,0,20,0,1
0,0,6,1,0
0,0,20,0,1
0,0,7,3,1
0,0,20,0,1
0,3,1,2,0
1,0,20,0,1
3,0,20,3,1
1,0,8,2,1
0,0,1,0,1
0,0,4,0,1
1,0,7,0,0
0,0,6,0,1
0,0,6,1,0
0,4,7,0,1
0,0,0,0,0
0,3,3,3,0
0,0,7,1,0
1,2,10,1,0
0,0,4,3,1
0,0,3,0,1
0,0,9,1,0
0,2,20,1,1
0,2,2,0,1
0,0,7,0,1
0,0,0,0,0
1,0,0,3,1
3,0,9,0,0
0,0,13,1,0
1,0,20,1,1
0,3,18,1,0
1,3,1,1,1
0,0,7,1,0
0,2,7,1,0
3,0,3,0,1
0,0,1,0,1
0,0,0,3,0
2,0,16,1,1
0,0,0,0,1
0,0,14,1,0
1,0,5,1,1
0,0,20,3,1
0,0,1,1,0
1,0,0,0,0
0,0,20,3,1
1,0,6,3,0
0,2,5,3,1
0,0,20,0,0
1,0,10,1,1
1,0,9,1,0
0,0,20,1,0
0,0,0,0,0
1,2,4,3,0
0,2,20,1,1
0,0,3,0,1
0,0,19,0,1
0,0,5,1,0
0,0,20,0,1
0,3,20,0,1
0,0,1,1,0
1,0,0,3,1
0,0,9,0,1
0,3,20,0,1
1,0,20,3,1
0,0,0,2,1
1,1,4,0,1
0,0,16,1,1
1,0,20,2,1
0,3,14,3,0
0,0,0,0,1
1,0,9,1,1
1,0,7,1,0
3,4,20,0,1
1,0,0,0,1
1,0,1,0,1
0,2,1,1,0
1,0,18,0,0
1,0,15,2,1
0,0,1,3,1
3,0,1,1,0
0,0,2,1,0
0,2,2,0,1
1,0,0,1,1
0,1,1,0,1
1,0,0,3,1
0,2,6,0,0
0,0,20,1,1
1,0,11,3,1
0,0,1,0,1
0,0,20,3,1
1,1,5,0,1
0,0,1,0,1
1,1,0,0,0
0,0,7,0,1
1,3,8,1,1
3,2,0,3,1
0,0,0,0,1
0,2,9,2,0
0,0,20,2,0
1,2,20,1,1
3,0,1,3,1
1,1,2,3,0
1,3,0,0,1
0,0,15,1,0
1,2,2,0,1
3,4,3,0,0
0,2,1,0,0
0,2,0,1,0
0,0,1,3,1
1,0,5,0,1
0,2,5,0,1
1,2,0,0,1
1,2,0,0,1
0,0,16,1,1
0,0,6,2,0
1,3,2,0,1
0,0,0,0,1
0,0,0,0,1
0,2,1,0,1
0,0,20,0,1
3,0,20,0,1
0,0,14,1,0
1,2,3,2,1
0,0,0,0,1
0,0,16,3,0
1,0,3,0,1
0,0,3,0,0
1,2,20,0,1
0,0,1,0,1
0,0,20,0,1
1,2,7,1,1
3,0,20,1,1
3,0,7,1,0
0,2,3,3,1
0,0,20,1,1
0,0,0,0,1
0,2,2,0,1
0,0,0,1,1
1,0,4,1,1
1,3,12,3,1
0,0,0,1,0
0,3,1,0,1
1,1,0,1,1
0,0,6,0,1
0,0,14,1,0
1,0,14,1,0
1,0,1,3,1
1,1,0,2,1
0,3,0,0,1
0,0,20,2,1
1,3,5,0,1
1,0,0,1,1
0,0,20,0,1
1,0,2,0,1
1,2,19,0,1
0,0,1,1,0
1,2,10,0,1
1,1,4,1,1
0,0,4,0,1
0,2,20,3,1
0,0,0,0,1
0,0,13,0,1
0,0,5,3,0
0,0,0,1,1
0,2,9,1,0
1,0,20,0,1
1,3,20,0,1
0,0,8,0,1
0,0,1,1,0
0,0,1,2,0
3,0,0,1,1
3,0,20,0,1
0,0,8,2,0
0,0,20,0,0
1,2,11,0,1
1,0,0,0,1
0,3,20,1,1
0,0,0,0,1
0,2,0,1,1
1,0,12,0,1
1,1,20,3,1
0,1,5,0,1
1,0,2,0,1
0,0,20,0,1
0,0,8,1,0
0,0,1,3,1
0,0,8,0,1
1,1,7,0,1
0,0,10,1,0
0,0,0,1,1
3,0,0,0,1
0,0,20,2,0
0,2,0,1,1
0,2,3,3,1
3,3,10,1,0
0,0,5,2,0
0,0,0,1,0
1,0,5,0,1
0,0,2,0,1
1,0,4,2,1
0,2,3,0,0
0,0,7,0,1
0,0,6,0,1
0,0,3,0,0
0,0,14,0,1
3,0,6,0,1
0,2,2,0,1
0,0,7,0,1
3,0,3,1,0
0,2,0,3,1
0,0,12,0,0
1,2,20,1,0
1,0,8,3,0
0,2,0,3,1
0,0,7,3,1
0,2,4,1,0
0,1,7,3,0
0,0,1,0,1
1,0,7,0,1
0,0,1,1,0
0,0,3,0,1
0,2,1,1,0
0,0,0,1,1
3,0,20,1,1
0,0,3,0,1
1,0,1,0,1
3,0,7,0,0
0,0,9,1,0
1,4,1,0,1
3,0,0,2,1
0,0,2,0,1
1,0,20,3,1
0,2,4,1,0
3,0,10,0,0
0,2,1,0,1
3,3,0,0,1
1,1,2,3,0
1,0,20,0,1
3,0,0,0,1
3,0,5,1,0
0,0,2,0,0
0,0,8,0,1
0,3,1,1,0
1,0,1,0,1
0,0,0,3,1
1,0,0,3,1
0,0,3,1,0
0,2,3,0,1
0,1,5,1,1
0,0,0,0,1
1,0,8,3,1
3,3,7,0,1
1,0,0,3,0
0,0,0,0,1
3,0,20,0,1
1,3,0,0,1
0,0,5,3,0
1,0,2,0,1
3,0,1,0,1
0,2,0,3,1
0,0,20,3,1
0,0,2,3,0
0,0,14,2,0
1,0,1,0,0
0,0,0,0,1
0,0,6,0,1
0,2,4,1,0
1,0,20,0,1
1,0,20,1,1
0,3,0,1,1
0,0,3,1,0
1,1,11,0,0
1,0,7,1,0
3,0,3,0,1
0,2,1,1,0
0,3,7,0,1
1,2,0,0,1
0,3,3,0,0
0,0,0,0,1
1,0,1,1,1
1,0,3,1,1
0,2,20,1,1
2,0,9,0,1
0,0,20,0,1
0,3,1,0,0
1,2,3,0,1
1,0,8,0,1
0,0,0,0,1
0,0,6,1,0
1,1,4,1,1
0,0,0,0,1
1,0,12,0,1
0,0,0,0,1
3,0,20,1,0
0,0,1,0,1
1,0,1,0,0
0,0,2,0,0
0,0,12,0,1
0,0,3,3,1
2,0,3,2,0
0,2,3,0,0
1,0,20,0,1
0,2,1,0,1
0,0,20,3,1
3,0,1,0,1
0,0,1,2,0
1,0,12,0,0
1,0,5,0,0
1,1,1,0,1
0,0,0,1,0
0,0,20,0,1
1,0,20,3,1
3,3,8,2,1
1,0,2,1,1
1,0,1,1,1
0,0,20,1,1
0,0,1,0,1
1,0,20,3,1
0,2,20,0,1
0,0,20,3,1
0,2,1,3,1
0,0,0,1,1
1,1,3,1,1
3,0,20,2,1
1,0,1,0,1
2,3,12,1,0
1,2,7,3,1
0,0,20,1,1
1,1,2,0,1
1,0,3,1,1
0,0,0,3,1
0,2,0,0,1
0,2,10,0,0
0,0,15,1,0
0,0,1,0,1
0,0,0,0,0
0,0,9,1,0
1,0,0,2,1
0,0,4,0,1
0,3,0,0,1
0,0,1,0,1
1,1,1,1,0
0,0,20,1,1
0,2,3,1,0
1,1,2,1,1
0,3,2,1,0
0,0,20,1,1
1,0,5,1,0
1,0,0,0,1
0,0,1,0,0
1,3,0,0,1
2,2,5,0,0
0,0,3,1,0
3,0,5,1,0
0,0,0,0,0
0,0,5,3,0
1,0,20,3,1
0,0,3,1,0
0,2,0,1,0
0,0,3,1,0
1,0,20,0,1
0,0,20,0,1
0,0,13,0,1
0,3,0,0,1
1,0,10,3,0
1,0,3,0,1
0,2,20,0,0
0,0,1,1,0
1,1,3,1,1
0,0,3,0,1
0,0,9,0,1
0,0,3,3,1
1,0,2,1,1
0,0,2,0,0
0,3,6,0,1
3,0,0,0,1
0,0,1,1,0
0,0,0,3,1
1,1,1,1,1
0,0,1,0,1
0,0,7,0,0
1,0,10,1,1
3,3,20,0,1
0,0,1,1,0
0,0,0,3,0
0,0,7,1,0
3,0,1,1,0
0,0,0,0,1
3,0,7,0,1
0,0,6,1,0
1,0,2,3,1
0,0,0,0,1
1,3,20,1,1
0,2,11,0,1
0,0,10,0,0
1,4,0,3,1
2,0,6,3,1
1,0,7,0,0
0,3,1,0,1
0,0,3,1,0
1,1,2,0,1
3,1,17,0,1
0,0,2,1,0
0,1,0,1,1
0,0,0,0,1
0,0,20,3,1
1,0,0,0,0
0,0,16,0,1
0,3,2,0,1
0,0,20,3,1
0,0,20,3,1
0,0,1,0,0
0,0,0,0,1
1,0,20,3,0
0,0,13,0,0
1,3,0,0,0
1,1,1,1,1
3,2,7,1,0
0,4,2,0,1
1,0,7,1,1
0,3,6,0,1
0,0,3,3,1
0,0,20,0,1
2,2,1,0,1
0,0,12,0,1
0,0,1,0,0
0,2,2,0,0
0,2,2,1,0
3,3,20,0,1
0,0,1,3,1
0,0,1,1,0
0,0,1,2,0
1,1,4,0,1
0,0,12,0,0
1,3,7,1,1
1,0,12,0,1
1,2,3,3,0
0,0,2,0,1
0,0,1,1,0
0,2,1,0,1
1,0,12,0,1
0,0,11,0,1
0,0,2,0,1
3,0,17,0,0
0,0,3,0,1
1,0,3,1,1
0,0,9,2,0
1,0,6,1,1
0,2,0,0,1
1,1,2,1,1
1,0,2,3,1
0,4,20,1,1
0,2,2,0,0
1,0,11,0,1
0,0,0,3,1
0,0,2,1,0
1,0,4,1,1
1,3,0,0,1
1,0,20,3,1
0,0,4,0,0
1,2,20,0,1
0,0,16,3,0
0,0,2,1,0
3,0,3,1,0
1,0,0,0,1
0,0,0,1,1
0,0,3,1,0
0,0,1,3,1
1,2,20,0,1
0,0,20,0,1
0,0,1,1,0
1,4,1,3,1
0,0,1,0,1
1,0,9,0,1
0,2,1,0,0
1,3,20,2,1
0,0,20,0,1
0,2,1,3,0
3,0,7,3,1
1,0,20,1,0
0,0,20,0,1
1,0,20,1,0
0,0,20,1,1
1,1,20,3,0
0,2,0,0,1
0,0,3,1,0
0,0,3,1,0
0,0,9,1,0
0,0,1,2,0
1,0,3,1,1
1,1,4,0,1
1,4,14,3,0
3,0,1,3,0
0,0,20,3,1
0,2,17,1,1
0,0,1,3,1
0,2,1,0,1
0,0,1,1,0
1,4,20,0,1
0,0,7,1,0
0,0,4,0,1
0,0,0,1,1
0,2,3,3,0
0,0,4,1,0
0,3,20,3,1
0,2,8,1,1
0,0,13,3,1
0,0,2,3,0
0,0,20,0,1
0,0,3,2,0
3,0,9,1,0
0,2,1,1,0
0,2,1,0,0
1,2,20,1,0
0,0,3,0,1
0,0,20,0,1
0,0,0,1,1
0,3,12,3,0
0,0,5,3,0
0,0,12,0,1
1,0,1,3,1
1,2,20,0,0
0,0,0,0,1
0,2,9,0,1
1,3,0,1,1
1,0,1,0,1
1,0,0,0,1
0,0,20,1,1
0,0,15,1,0
1,1,0,0,0
1,0,17,0,1
0,0,20,0,1
0,0,9,2,0
0,3,6,3,1
1,1,6,1,1
1,1,20,0,1
1,0,6,3,1
0,0,8,1,1
0,0,5,1,0
0,0,2,1,0
1,0,20,1,1
1,0,2,2,0
0,0,14,0,0
0,0,20,1,1
0,3,20,1,1
1,1,2,1,1
1,2,1,0,1
1,4,20,3,0
1,0,3,0,1
1,2,17,3,1
0,0,20,3,1
0,1,20,0,1
0,4,8,2,1
3,3,20,1,1
1,1,2,3,1
1,0,5,0,1
0,2,4,0,1
3,0,0,1,1
3,0,1,0,1
1,0,1,0,1
0,3,0,3,1
2,2,0,0,1
0,2,0,0,1
1,1,9,0,1
3,2,5,0,1
0,0,13,0,0
0,2,6,0,1
1,0,2,0,1
0,0,20,0,1
0,0,5,2,0
0,3,8,1,1
0,0,0,2,1
0,3,1,0,1
0,0,2,0,1
0,2,1,0,0
0,0,1,1,0
0,4,2,0,1
1,0,1,3,0
0,0,3,1,0
0,0,1,0,0
0,0,1,1,0
1,0,0,0,0
1,0,2,0,0
1,2,20,0,0
0,3,20,0,1
0,0,0,0,1
1,1,0,3,1
0,0,20,1,1
0,0,0,0,1
0,2,12,0,1
1,0,20,3,0
0,0,5,2,0
0,4,5,1,0
1,0,0,0,1
1,0,20,0,1
1,0,11,0,1
1,0,3,0,1
1,1,1,1,0
0,2,8,0,1
0,0,3,3,1
3,0,1,0,1
0,0,2,3,0
1,0,20,2,0
0,0,2,1,0
1,0,0,1,1
0,1,1,0,1
0,0,2,0,1
0,2,0,0,1
0,3,5,0,0
0,0,20,0,1
0,0,11,1,0
3,0,1,2,0
0,0,1,3,0
0,1,1,2,0
0,0,1,0,0
2,0,20,0,1
0,2,20,3,1
0,0,9,0,1
0,2,0,1,1
0,0,1,1,0
0,0,20,1,0
